AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
Common_35_Body	If you've played {c[ff8c00]}Super Kirby Clash\n{c[000000]}before, you get a special {c[ff8c00]}rare hat{c[000000]}!
Common_37_Title	Getting Rare Hats
Common_37_Body	As you increase your {c[ff8c00]}Fighters Rank{c[000000]},\nyou'll get {c[ff8c00]}rare hats{c[000000]} for Kirby!
BattleRule_1_Title	Battle Mode
BattleRule_1_Body	{c[ff8c00]}Up to four players{c[000000]} can play together\nusing one Nintendo Switch system!\nSet some {c[ff8c00]}rules {c[000000]}and get right to it!
BattleRule_2_Title	Solo
BattleRule_2_Body	{c[ff8c00]}It's you against the world{c[000000]}!\nSurvive to the very end!
BattleRule_3_Title	Team
BattleRule_3_Body	Teamwork is key! Find and use\nitems designed {c[ff8c00]}specially for\nteam battles{c[000000]}!
BattleRule_5_Title	Rule Settings
BattleRule_5_Body	You can change the {c[ff8c00]}battle rules\n{c[000000]}on the screen where you choose\nbetween Team or Solo!
BattleRule_6_Title	Handicap Settings
BattleRule_6_Body	Setting {c[ff8c00]}Handicap{c[000000]} to {c[ff8c00]}Auto{c[000000]} in {c[ff8c00]}Rule\nSettings{c[000000]} will {c[ff8c00]}automatically {c[000000]}adjust\nthe handicap based on your results!
BattleRule_7_Title	Serious Battles
BattleRule_7_Body	If you want to get serious,\ntry setting {c[ff8c00]}Items {c[000000]}to {c[ff8c00]}None {c[000000]}and\n{c[ff8c00]}Hazards {c[000000]}to {c[ff8c00]}Off{c[000000]} in {c[ff8c00]}Rule Settings{c[000000]}!
BattleRule_8_Title	Unlocking Stages
BattleRule_8_Body	As your {c[ff8c00]}Fighters Rank {c[000000]}goes up,\nmore {c[ff8c00]}Battle Stages{c[000000]} are unlocked!
BattleRule_9_Title	No Hazards
BattleRule_9_Body	If you set {c[ff8c00]}Hazards {c[000000]}to {c[ff8c00]}Off {c[000000]}in\n{c[ff8c00]}Rule Settings{c[000000]}, the stage hazards\nwill {c[ff8c00]}stop moving{c[000000]}!
BattleRule_10_Title	Secret Songs Playback
BattleRule_10_Body	In stages where you have the\n{c[ff8c00]}secret song{c[000000]}, you can {c[ff8c00]}select the\nstage while pressing \x0e\x04\x08\x024\0{c[000000]} to\nplay that song while you fight!
Rogue_1_Title	You and Your Buddy
Rogue_1_Body	{c[ff8c00]}Work together{c[000000]} with your buddy\nto climb the tower! {c[ff8c00]}Teamwork {c[000000]}is\nthe path to the top!
Rogue_2_Title	Choose Wisely
Rogue_2_Body	Whatever item you choose in the\n{c[ff8c00]}Item Room{c[000000]} will last all the way\n{c[ff8c00]}to the Summit{c[000000]}!
Rogue_3_Title	Special-Move List
Rogue_3_Body	Press {c[ff8c00]}\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 {c[000000]}to {c[ff8c00]}pause{c[000000]} and see\n{c[ff8c00]}how to perform special moves{c[000000]}!
Rogue_4_Title	Auto-Heal After Battle
Rogue_4_Body	In Story Mode, you {c[ff8c00]}heal{c[000000]} a little\nbit each time you {c[ff8c00]}win a battle{c[000000]}.
Rogue_5_Title	Start from Bookmark Save
Rogue_5_Body	In {c[ff8c00]}Story Mode{c[000000]}, you can continue\na game you left off from your\n{c[ff8c00]}Bookmark Save{c[000000]}.
Rogue_6_Title	Item Room Power-Ups
Rogue_6_Body	You can take {c[ff8c00]}only one{c[000000]} of the\n{c[ff8c00]}items{c[000000]} to power up you and\nyour buddy!
Rogue_7_Title	Always a Challenge
Rogue_7_Body	The higher you climb, the {c[ff8c00]}tougher\n{c[000000]}enemies get. Choose well in the {c[ff8c00]}Item\nRoom {c[000000]}for the power-ups you need!
Rogue_11_Title	Rare Items
Rogue_11_Body	{c[ff8c00]}Rare items {c[000000]}sometimes appear in\nthe {c[ff8c00]}Item Room{c[000000]}! Count your lucky\nstars if you find one!
Rogue_12_Title	Arriving at the Summit
Rogue_12_Body	You're ready to face King Dedede\nand Meta Knight! But what you\nsense here instead are {c[ff8c00]}two very\nlarge creatures{c[000000]}...
Rogue_14_Title	Dual Swords Attack
Rogue_14_Body	Here comes {c[ff8c00]}Duo Edge{c[000000]}! This pair\nof black-steel giants stands\nbefore you as a tag team!
Rogue_16_Title	Dueling the King and Knight
Rogue_16_Body	Team Kirby found {c[ff8c00]}King Dedede\n{c[000000]}and {c[ff8c00]}Meta Knight{c[000000]}! But there's\nsomething off about these two...
Rogue_18_Title	Twin Woods Encore
Rogue_18_Body	Halfway up the tower, {c[ff8c00]}two giant\ntrees{c[000000]} blocked your path again!
Rogue_19_Title	The True King and Knight
Rogue_19_Body	Reaching the {c[ff8c00]}Summit{c[000000]} at last, you\nfound the {c[ff8c00]}King {c[000000]}and {c[ff8c00]}Knight{c[000000]}. You\nknow deep down that they must\nbe the real ones this time!
Rogue_20_Title	Rematch Against Armors
Rogue_20_Body	{c[ff8c00]}Duo Edge{c[000000]} returns, sturdier than\never! The green and red armors\nready their swords with revenge\non their minds!
Rogue_21_Title	Shadow Kirby Appears
Rogue_21_Body	A {c[ff8c00]}naughty shadow{c[000000]} has appeared.\nYou suspect it was born from\nthe {c[ff8c00]}mirror {c[000000]}version of Kirby's\ninnocent soul!
Rogue_22_Title	The Destined Rivals
Rogue_22_Body	Which pair has the stronger\nbond? The {c[ff8c00]}final battle{c[000000]} between\nold rivals begins now!
Rogue_23_Title	Still Growing
Rogue_23_Body	{c[ff8c00]}Twin Woods{c[000000]} appears a third\ntime! Their strength and skill\nhaven't stopped growing yet!
Rogue_24_Title	Raging Dual Blades
Rogue_24_Body	{c[ff8c00]}Duo Edge {c[000000]}isn't finished with you\nyet! Can you dodge those honed\nswords?
Rogue_25_Title	Another Shadow Encounter
Rogue_25_Body	Once again, you cross paths with\nthe one who lurks in Kirby's shade!\nSend that {c[ff8c00]}naughty shadow {c[000000]}packing!
Rogue_26_Title	Tree Twins' Max Power
Rogue_26_Body	Having grown quite a bit, {c[ff8c00]}Twin Woods{c[000000]}\nhas enormous power now! Watch out\nfor those synchronized attacks!
Rogue_27_Title	Thick Armor, Sharp Swords
Rogue_27_Body	These {c[ff8c00]}blades {c[000000]}have mastered the\nart of swordsmanship through\nconstant battling. They're putting\nit all on the line to challenge you!
Rogue_28_Title	Close to the Heavens
Rogue_28_Body	On the Summit of the heaven-piercing\ntower, bond is tested against bond.\nThe {c[ff8c00]}true final battle {c[000000]}begins!
Rogue_29_Title	Don't Give Up!
Rogue_29_Body	Even if you turn into a {c[ff8c00]}ghost{c[000000]},\nthe {c[ff8c00]}battle isn't over{c[000000]} if your\n{c[ff8c00]}buddy {c[000000]}is still standing.
Rogue_30_Title	Score and Fighters Points
Rogue_30_Body	When you clear a chapter in\nStory Mode, your {c[ff8c00]}total score\n{c[000000]}will turn into {c[ff8c00]}Fighters Points{c[000000]}!
Rogue_31_Title	Master the Items
Rogue_31_Body	Go ahead and use any {c[ff8c00]}items {c[000000]}that\nappear during a battle! Some\nitems do {c[ff8c00]}huge damage{c[000000]} to enemies\non impact!
Rogue_32_Title	Dropped Stars
Rogue_32_Body	If a boss drops a star,\n{c[ff8c00]}\x0e\x04\x07\x023\0 Gobble/Grab it {c[000000]}and Throw\nit back at them!
Rogue_33_Title	Boss Badge
Rogue_33_Body	These boost your attack power\nagainst {c[ff8c00]}all bosses{c[000000]} in the tower.\nThe more you pick up, the better\nthe effect gets!
Rogue_34_Title	Buddy Skill Up
Rogue_34_Body	{c[ff8c00]}Improves {c[000000]}your {c[ff8c00]}buddy{c[000000]}'s skill all\naround! A must-have item if\nyour buddy is {c[ff8c00]}CPU {c[000000]}controlled!
Rogue_35_Title	Ghost Stone
Rogue_35_Body	This {c[ff8c00]}reduces {c[000000]}the time it takes to\nbecome a ghost. It also increases\nyour {c[ff8c00]}speed {c[000000]}as a ghost and {c[ff8c00]}health\n{c[000000]}once you're revived!
Rogue_36_Title	Auto-Heal Sticker
Rogue_36_Body	This helps you {c[ff8c00]}auto-heal {c[000000]}for a\nlittle bit more after winning a\nbattle! Highly recommended for\na long climb up a tall tower!
Rogue_37_Title	Auto-Guard
Rogue_37_Body	This rare item will sometimes\n{c[ff8c00]}automatically guard {c[000000]}you even\nwhen you don't block!
Rogue_38_Title	Charms
Rogue_38_Body	{c[ff8c00]}Charms{c[000000]} come in several {c[ff8c00]}varieties{c[000000]}.\nAll of them will greatly reduce the\ndamage from a certain source!
Rogue_39_Title	Quick-Cheer Sticker
Rogue_39_Body	This will {c[ff8c00]}shorten {c[000000]}dance time and\n{c[ff8c00]}power you up {c[000000]}after dancing!
Rogue_40_Title	Item Selection Plus
Rogue_40_Body	This super-rare item {c[ff8c00]}adds an\nextra item slot {c[000000]}in the Item Room!
Rogue_41_Title	Cursed Auto-Heal Ring
Rogue_41_Body	Take this along with an {c[ff8c00]}Auto-Heal\nSticker {c[000000]}for a bigger effect!
Rogue_42_Title	Cursed Attack Ring
Rogue_42_Body	If you're confident in your ability\nto {c[ff8c00]}Guard {c[000000]}and {c[ff8c00]}Dodge{c[000000]}, take this to\ngreatly increase your {c[ff8c00]}attack {c[000000]}power!
Rogue_43_Title	Cursed Anti-Ghost Ring
Rogue_43_Body	This {c[ff8c00]}prevents {c[000000]}enemies from\n{c[ff8c00]}reviving{c[000000]}. It's a good way to help\nget a {c[ff8c00]}high score{c[000000]}!
Rogue_44_Title	Score Statues
Rogue_44_Body	These are a surefire way to\nget {c[ff8c00]}Fighters Points{c[000000]} or reach\na {c[ff8c00]}high score{c[000000]}!
Rogue_45_Title	Quick-Charge Stone
Rogue_45_Body	Enables you to {c[ff8c00]}quickly use {c[000000]}attacks\nthat require pressing and holding\na button! Recommended for anyone\nwho uses lots of charge attacks!
Rogue_46_Title	Score-Bonus Sticker
Rogue_46_Body	This increases the points earned\nwhenever{c[ff8c00]} you win{c[000000]} a battle! It's\nan especially lucky find if you\nget one {c[ff8c00]}early{c[000000]}!
Rogue_47_Title	Story Items
Rogue_47_Body	Increase your {c[ff8c00]}Fighters Rank{c[000000]},\nand you'll unlock more powerful\n{c[ff8c00]}Story Items{c[000000]}!
Rogue_48_Title	Max Power Shadow Kirby
Rogue_48_Body	A third encounter with {c[ff8c00]}Kirby's\nshadow{c[000000]}?! Its power is off the\ncharts, but you can still win\nwith your buddy's help!
Rogue_49_Title	Number of Players
Rogue_49_Body	Even in the middle of climbing\nthe tower, you can change the\n{c[ff8c00]}number of players {c[000000]}and pick up\nfrom a{c[ff8c00]} Bookmark Save{c[000000]}!
RogueGameOver_1_Title	Beat the Clock
RogueGameOver_1_Body	Use an {c[ff8c00]}Attack Stone {c[000000]}to do more\ndamage or an {c[ff8c00]}Extension Sticker\n{c[000000]}to increase the remaining time!
RogueGameOver_2_Title	Watch Out for Hazards
RogueGameOver_2_Body	Stage hazards do a ton of damage\non contact. Use an {c[ff8c00]}Anti-Hazard\nCharm {c[000000]}to {c[ff8c00]}soften the blow{c[000000]}!
RogueGameOver_3_Title	Reduce Item Damage
RogueGameOver_3_Body	{c[ff8c00]}Bombers {c[000000]}and {c[ff8c00]}Mikes {c[000000]}do a ton of\ndamage on contact! Better get\nyourself a protective {c[ff8c00]}charm{c[000000]}!
RogueGameOver_4_Title	Rise Up from Defeat
RogueGameOver_4_Body	If you lose, you can {c[ff8c00]}try again{c[000000]}\nand again! You can even quit\nwhere you are and continue\nfrom a {c[ff8c00]}Bookmark Save{c[000000]}!
RogueGameOver_5_Title	Defeating Twin Woods
RogueGameOver_5_Body	Pay attention to both trees,\nand strike at the one that's\nmore {c[ff8c00]}open to attacks{c[000000]}!
RogueGameOver_6_Title	Defeating Twin Woods
RogueGameOver_6_Body	You can attack the small {c[ff8c00]}apples\n{c[000000]}Twin Woods drops to {c[ff8c00]}smash{c[000000]} them!
RogueGameOver_7_Title	Defeating Duo Edge
RogueGameOver_7_Body	Duo Edge's{c[ff8c00]} shield guard {c[000000]}is\ninvincible! Strike at the {c[ff8c00]}one\nwhose guard is down{c[000000]}!
RogueGameOver_8_Title	Defeating Duo Edge
RogueGameOver_8_Body	Duo Edge's {c[ff8c00]}jump attacks{c[000000]} do a lot of\ndamage, but they give you the perfect\nchance to {c[ff8c00]}counterattack {c[000000]}while the\nsword is stuck in the ground!
RogueGameOver_10_Title	Look for Openings
RogueGameOver_10_Body	King Dedede and Meta Knight's\n{c[ff8c00]}combo attacks{c[000000]} are very powerful,\nbut they also leave them {c[ff8c00]}wide open\nfor counterattacks{c[000000]}!
RogueGameOver_11_Title	Speedy Stage
RogueGameOver_11_Body	Both you and your enemies will\nmove {c[ff8c00]}twice as fast{c[000000]}! Don't be\nhasty, and pay attention as\nyou fight!
RogueGameOver_12_Title	Hustle Stage
RogueGameOver_12_Body	{c[ff8c00]}Hurry {c[000000]}to defeat your enemies!\nAn{c[ff8c00]} Extension Sticker{c[000000]} will give\nyou a little more time.
RogueGameOver_13_Title	Ice Container Stage
RogueGameOver_13_Body	Nothing but {c[ff8c00]}Ice Containers {c[000000]}here!\nBreak them quickly and get the\n{c[ff8c00]}powerful items{c[000000]} inside!
RogueGameOver_14_Title	Deadly Hazard Stage
RogueGameOver_14_Body	Here, {c[ff8c00]}hazards {c[000000]}will do {c[ff8c00]}double\ndamage{c[000000]}! Watch your step and\nsteer clear!
RogueGameOver_15_Title	Brutal-Foe Stage
RogueGameOver_15_Body	The enemies here all have high\n{c[ff8c00]}attack {c[000000]}power! Press \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0 to\n{c[ff8c00]}Guard{c[000000]} yourself as you fight!
RogueGameOver_16_Title	Gordo Ball Stage
RogueGameOver_16_Body	Nothing but {c[ff8c00]}Gordo Balls{c[000000]} here!\nThe{c[ff8c00]} Anti-Gordo Charm{c[000000]} will be\nvery useful in this battle!
RogueGameOver_17_Title	Speedy-Mech Stage
RogueGameOver_17_Body	{c[ff8c00]}Mechanized hazards{c[000000]} on this\nstage move at {c[ff8c00]}double speed{c[000000]}!\nDon't let them hit you!
RogueGameOver_18_Title	Defeating Shadow Kirby
RogueGameOver_18_Body	Don't just use normal attacks.\nThrow in some {c[ff8c00]}Gobble/Grab\n{c[000000]}moves{c[ff8c00]} {c[000000]}and {c[ff8c00]}Dodges{c[000000]} too!
RogueGameOver_19_Title	Explosive Stage
RogueGameOver_19_Body	Nothing but {c[ff8c00]}explosives {c[000000]}here!\nBring an {c[ff8c00]}Anti-Explosion Charm\n{c[000000]}to help protect yourself.
RogueGameOver_20_Title	Crackler Stage
RogueGameOver_20_Body	Nothing but {c[ff8c00]}Cracklers {c[000000]}here!\nGrab one {c[ff8c00]}quickly {c[000000]}and blast your\nenemies with {c[ff8c00]}cannonballs{c[000000]}!
RogueGameOver_21_Title	Action Star Stage
RogueGameOver_21_Body	Nothing but {c[ff8c00]}Action Stars{c[000000]} here!\nAnything can happen with this\nitem, but good things seem more\nlikely when you {c[ff8c00]}use one yourself{c[000000]}!
RogueGameOver_22_Title	Reviving
RogueGameOver_22_Body	While you're a ghost, if you can\nhit an enemy, you'll {c[ff8c00]}revive{c[000000]}!\nHaving a {c[ff8c00]}Ghost Stone{c[000000]} makes it\neasier.
RogueGameOver_23_Title	Story Mode for 2 Players
RogueGameOver_23_Body	{c[ff8c00]}Two players {c[000000]}can go through\nStory Mode together. Double the\naction and double the fun! It'll\nbe twice as easy too...won't it?
RogueGameOver_24_Title	Feed Me
RogueGameOver_24_Body	Take some {c[ff8c00]}food {c[000000]}and {c[ff8c00]}feed {c[000000]}it to\nyour buddy! Both of you will\nbe {c[ff8c00]}healed{c[000000]}!
RogueGameOver_26_Title	Indomitable Heart
RogueGameOver_26_Body	If you keep fighting, enemies\nwill get tired eventually. Wait for\nyour chance and {c[ff8c00]}don't give up{c[000000]}!
RogueGameOver_27_Title	Safe Spot
RogueGameOver_27_Body	You can avoid King Dedede and\nMeta Knight's powerful {c[ff8c00]}combo\nattacks{c[000000]} by finding a {c[ff8c00]}spot where\nthe attacks don't reach{c[000000]}!
Single_1_Title	Single-Handed Mode
Single_1_Body	Compete for {c[ff8c00]}time {c[000000]}in a series of\nbattles! Your health is {c[ff8c00]}reset\nafter each battle{c[000000]}!
Single_2_Title	Ticking Clock
Single_2_Body	You can try again and again if\nyou lose, but the {c[ff8c00]}clock won't\nstop{c[000000]}! Shoot for a quick victory!
Single_3_Title	Go for Platinum
Single_3_Body	Each {c[ff8c00]}character {c[000000]}and {c[ff8c00]}difficulty{c[000000]}'s\nclear times are tracked\nseparately.{c[ff8c00]} {c[000000]}Try for a {c[ff8c00]}platinum\nmedal {c[000000]}with every character!
Single_4_Title	Kirby's Shadow
Single_4_Body	This naughty {c[ff8c00]}shadow {c[000000]}can appear\nanywhere, anytime. After a long\nabsence, it has shown up again\nto {c[ff8c00]}join {c[000000]}the battle tournament!
SingleGameOver_1_Title	Don't Get Overwhelmed
SingleGameOver_1_Body	When you're fighting a group, be\ncareful not to get {c[ff8c00]}stuck {c[000000]}between\nenemies! Try {c[ff8c00]}Spitting or Throwing\n{c[000000]}one enemy into another!
SingleGameOver_2_Title	Defeating Shadow Kirby
SingleGameOver_2_Body	Don't just use normal attacks.\nThrow in some {c[ff8c00]}Gobble/Grab\n{c[000000]}moves{c[ff8c00]} {c[000000]}and {c[ff8c00]}Dodges{c[000000]} too!
SingleGameOver_4_Title	Get Food
SingleGameOver_4_Body	When you see {c[ff8c00]}food {c[000000]}appear in\nthe stage, get it and {c[ff8c00]}heal {c[000000]}before\nit's too late!
Online_1_Title	Matching in Team Battle
Online_1_Body	In a {c[ff8c00]}Random Match{c[000000]} online, you'll\nalways team up with someone\nfor a {c[ff8c00]}2 vs 2{c[000000]} team battle!
Online_2_Title	Team-Play Bonus
Online_2_Body	In {c[ff8c00]}Online Mode{c[000000]} and {c[ff8c00]}Local Play\nMode{c[000000]}, you'll earn more {c[ff8c00]}Fighters\nPoints{c[000000]} than usual!
Online_3_Title	When Time Runs Out
Online_3_Body	In a Random Match, the game ends\nwhen {c[ff8c00]}time {c[000000]}runs out. The team with\nthe higher {c[ff8c00]}combined health{c[000000]} wins!
Online_4_Title	Random Stage
Online_4_Body	Battles in {c[ff8c00]}Random Match\n{c[000000]}take place on {c[ff8c00]}randomly\n{c[000000]}selected stages.
Online_5_Title	Be Strong but Kind
Online_5_Body	The four players in a Random\nMatch are all {c[ff8c00]}real people who\nlive somewhere{c[000000]}. Be {c[ff8c00]}considerate{c[000000]},{c[ff8c00]}\n{c[000000]}and fight fair and square!
Online_7_Title	A Streak to Be Proud Of
Online_7_Body	If you keep winning without any\ndefeats, your {c[ff8c00]}win-streak{c[000000]} record\nwill be displayed!
Practice_1_Title	Training Mode
Practice_1_Body	{c[ff8c00]}Practice {c[000000]}with new Copy Abilities\nand buddies in{c[ff8c00]} Training Mode{c[000000]}!
Practice_2_Title	Training Partner
Practice_2_Body	Opponents in {c[ff8c00]}Training Mode {c[000000]}won't\nmake any moves. After defeating\nthem, press \x0e\x04\t\x02`\0 + \x0e\x04\n\x02a\0 to {c[ff8c00]}reset{c[000000]}!
Practice_3_Title	Reset the Training
Practice_3_Body	In {c[ff8c00]}Training Mode{c[000000]}, you can {c[ff8c00]}reset{c[000000]}\nyour position and that of your\nenemies by pressing \x0e\x04\t\x02`\0 + \x0e\x04\n\x02a\0.
Ability_1_Title	Sword Tip #1
Ability_1_Body	Hold \x0e\x04\x17\x02Ä\0 to activate {c[ff8c00]}Sky Energy\nSword{c[000000]}! It allows you to attack\nfrom {c[ff8c00]}a little further away{c[000000]}.
Ability_2_Title	Sword Tip #2
Ability_2_Body	A {c[ff8c00]}Drill Stab{c[000000]} followed by an\n{c[ff8c00]}Upward Slash {c[000000]}is the basic\n{c[ff8c00]}combo {c[000000]}for Sword.
Ability_3_Title	Sword Tip #3
Ability_3_Body	During a{c[ff8c00]} Spin Slash{c[000000]}, you can\nmove \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0 to {c[ff8c00]}move {c[000000]}and attack!
Ability_4_Title	Cutter Tip #1
Ability_4_Body	While a {c[ff8c00]}Cutter Boomerang{c[000000]} is in\nthe air, move \x0e\x04\x17\x02Ä\0/\x0e\x04\x15\x02Â\0 to {c[ff8c00]}change\nits direction{c[000000]}!
Ability_5_Title	Cutter Tip #2
Ability_5_Body	If you jump over a returning\nCutter, it will turn into an\nattack that {c[ff8c00]}stays in the air{c[000000]}!
Ability_6_Title	Cutter Tip #3
Ability_6_Body	Press and hold \x0e\x04\x06\x022\0 for a {c[ff8c00]}Hyper\nBoomerang{c[000000]}! This attack {c[ff8c00]}pierces\nthrough{c[000000]} everything!
Ability_7_Title	Beam Tip #1
Ability_7_Body	A {c[ff8c00]}Beam Blast {c[000000]}fires downward\ndiagonally. You can shoot it in\nmidair {c[ff8c00]}as many times as you like{c[000000]}!
Ability_8_Title	Beam Tip #2
Ability_8_Body	Press and hold \x0e\x04\x06\x022\0 for a {c[ff8c00]}Wave Beam{c[000000]}!\nIt reaches {c[ff8c00]}distant enemies{c[000000]} and\ndoes a lot of damage!
Ability_9_Title	Beam Tip #3
Ability_9_Body	Press \x0e\x04\x06\x022\0 for a {c[ff8c00]}Beam Whip{c[000000]}, which\nattacks {c[ff8c00]}upward {c[000000]}in a wide area!\nStrike at your enemies through\nthe {c[ff8c00]}thin floor{c[000000]}!
Ability_10_Title	Parasol Tip #1
Ability_10_Body	Parasol works best {c[ff8c00]}near a wall{c[000000]}!\n{c[ff8c00]}Parasol Drill{c[000000]} and {c[ff8c00]}Parasol Twirl{c[000000]}\nwill be your best moves here!
Ability_11_Title	Parasol Tip #2
Ability_11_Body	Get {c[ff8c00]}high up{c[000000]} in the air and attack\nfrom above with a {c[ff8c00]}Parasol Dive{c[000000]}!
Ability_12_Title	Parasol Tip #3
Ability_12_Body	You can activate a {c[ff8c00]}Parasol Drill{c[000000]}\nwhile dashing and jumping!
Ability_13_Title	Hammer Tip #1
Ability_13_Body	Use \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0 for a {c[ff8c00]}Hammer Flip{c[000000]}.\n{c[ff8c00]}Charge {c[000000]}it to the {c[ff8c00]}max {c[000000]}for an\nextremely powerful attack!
Ability_14_Title	Hammer Tip #2
Ability_14_Body	A {c[ff8c00]}Hammer Swing {c[000000]}can {c[ff8c00]}strike\n{c[000000]}multiple enemies in one hit!
Ability_15_Title	Hammer Tip #3
Ability_15_Body	The {c[ff8c00]}Hammer Twirl{c[000000]} works in\n{c[ff8c00]}midair{c[000000]} too! Use it on an enemy\nfrom {c[ff8c00]}above{c[000000]}!
Ability_16_Title	Bomb Tip #1
Ability_16_Body	If you leave {c[ff8c00]}Bomb Prep {c[000000]}alone,\nit'll explode on its own and may\ndamage {c[ff8c00]}you {c[000000]}too!
Ability_17_Title	Bomb Tip #2
Ability_17_Body	Activate {c[ff8c00]}Bomb Bowl{c[000000]} as you {c[ff8c00]}Dash\nand Jump{c[000000]}. That's how you get\n{c[ff8c00]}maximum distance{c[000000]} on the bomb!
Ability_18_Title	Bomb Tip #3
Ability_18_Body	When you lay down a second\n{c[ff8c00]}Bomb Set{c[000000]}, the {c[ff8c00]}first one will\nexplode immediately{c[000000]}! Use this\nstrategy wisely for great effect!
Ability_19_Title	Whip Tip #1
Ability_19_Body	{c[ff8c00]}Whip Grab{c[000000]} is very powerful!\nUse its {c[ff8c00]}long reach{c[000000]} to snag\neverything you can!
Ability_20_Title	Whip Tip #2
Ability_20_Body	{c[ff8c00]}Whip Grab{c[000000]} can snag items {c[ff8c00]}from\na distance{c[000000]}!
Ability_21_Title	Whip Tip #3
Ability_21_Body	Move \x0e\x04\x17\x02Ä\0 during a {c[ff8c00]}Whip Grab{c[000000]} and\nyou can snag an {c[ff8c00]}enemy above {c[000000]}you!
Ability_22_Title	Archer Tip #1
Ability_22_Body	Archer's {c[ff8c00]}Shot has different effects\n{c[000000]}depending on how long you {c[ff8c00]}press\nand hold \x0e\x04\x06\x022\0{c[000000]}! Go for multiple shots\nor a single piercing shot!
Ability_23_Title	Archer Tip #2
Ability_23_Body	Use \x0e\x04\x15\x02Â\0 for {c[ff8c00]}Camouflage{c[000000]}, then\npress \x0e\x04\x06\x022\0 for {c[ff8c00]}Hitman{c[000000]} to make\nyour arrows travel faster!
Ability_24_Title	Archer Tip #3
Ability_24_Body	After {c[ff8c00]}Leaping Quiver{c[000000]}, move \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0\nto change directions and {c[ff8c00]}shoot\nmultiple arrows{c[000000]} in midair!
Ability_25_Title	Fighter Tip #1
Ability_25_Body	The {c[ff8c00]}number of skills{c[000000]} this ability\nhas makes it very versatile!\nPress \x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 to open the {c[ff8c00]}Pause\n{c[000000]}menu for all the details!
Ability_26_Title	Fighter Tip #2
Ability_26_Body	Try a combo attack, starting\nwith a {c[ff8c00]}Leg Sweep{c[000000]} and followed\nby a {c[ff8c00]}Spin Kick{c[000000]} or {c[ff8c00]}Rising Break{c[000000]}!
Ability_27_Title	Fighter Tip #3
Ability_27_Body	Master the {c[ff8c00]}Instant Mega Force\nBlast{c[000000]} and you can quickly cover\nground sideways!
Ability_28_Title	Ninja Tip #1
Ability_28_Body	{c[ff8c00]}Right before{c[000000]} an enemy hit lands,\nuse \x0e\x04\x15\x02Â\0 + \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0 for {c[ff8c00]}Clone Technique{c[000000]}!\nYou'll dodge the attack and strike\nwith your own {c[ff8c00]}counterattack{c[000000]}!
Ability_29_Title	Ninja Tip #2
Ability_29_Body	The {c[ff8c00]}Air Drop{c[000000]} move is useful for\nattacking {c[ff8c00]}enemies in midair{c[000000]}!
Ability_30_Title	Ninja Tip #3
Ability_30_Body	Used wisely, the {c[ff8c00]}Blossom Storm\n{c[000000]}can {c[ff8c00]}dodge {c[000000]}enemy attacks!
Ability_31_Title	Beetle Tip #1
Ability_31_Body	Press \x0e\x04\x06\x022\0 while dashing for a\n{c[ff8c00]}Rocket Horn{c[000000]}. It lets you {c[ff8c00]}Grab\n{c[000000]}enemies through their {c[ff8c00]}Guard{c[000000]}!
Ability_32_Title	Beetle Tip #2
Ability_32_Body	{c[ff8c00]}Press and hold \x0e\x04\x05\x021\0{c[000000]} in midair to\nuse your wings to {c[ff8c00]}fly around{c[000000]}!\nBuzz buzz!
Ability_33_Title	Beetle Tip #3
Ability_33_Body	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0 brings out the {c[ff8c00]}Spiral Horn{c[000000]}.\nUse it to {c[ff8c00]}launch{c[000000]} an enemy and go\nfor multiple attacks!
Ability_34_Title	Bell Tip #1
Ability_34_Body	If you use the Bell's {c[ff8c00]}Bell Block{c[000000]}\nto Guard, you'll automatically\nunleash a {c[ff8c00]}counterattack{c[000000]}!
Ability_35_Title	Bell Tip #2
Ability_35_Body	Hold \x0e\x04\x17\x02Ä\0, then use \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 to unleash\na {c[ff8c00]}Quick Finale{c[000000]}, which hits {c[ff8c00]}left and\nright at the same time{c[000000]}!
Ability_36_Title	Bell Tip #3
Ability_36_Body	Repeatedly pressing \x0e\x04\x06\x022\0 allows\nyou to perform {c[ff8c00]}Ring-ding-dong{c[000000]}\nendlessly! Try to use it on a\n{c[ff8c00]}cornered enemy{c[000000]}!
Ability_37_Title	Wrestler Tip #1
Ability_37_Body	Use{c[ff8c00]} Launcher Lariat{c[000000]} to launch\nan enemy, then {c[ff8c00]}Flying Grab{c[000000]} to\ncatch it in midair!
Ability_38_Title	Wrestler Tip #2
Ability_38_Body	{c[ff8c00]}Lift {c[000000]}can be used even through\nan enemy's {c[ff8c00]}guard{c[000000]}!
Ability_39_Title	Wrestler Tip #3
