A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの大事な帽子を持って行っちまった
A1_10440_PIKACHU_100_3000	む　言われてみれば　探偵をやってる\nオレの方が変わってるか……
A1_10440_WOMANQUIZ_100_7000	お近づきの印に　わたしのクイズを\n解いていってよ！
A1_10440_TIM_100_4000	あの　ぼくたち　いまは事件の調査で\nいそがしくて……
A1_10440_WOMANQUIZ_100_8000	さあ　第１問！
A1_10440_PIKACHU_100_4000	こっちの話を聞く気はなさそうだな\n仕方ない　付き合ってやるか
A1_10440_TIM_100_5000	……そうだね　そうしよう
A1_10440_WOMANQUIZ_100_9000	なが～い舌で\n獲物を狙ってるポケモンは　だーれだ？
A1_10440_WOMANQUIZ_100_10000	正解のポケモンは　この街にいるから\n探してみてね！
A1_10440_PIKACHU_100_5000	ドデカバシ　口の中を見せてくれ\nおまえの舌は　どうなってる？
A1_10440_DODEKABASHI_100_2000	カバシ
A1_10440_PIKACHU_100_6000	なるほど　普通の長さだな\nありがとよ
A1_10440_TIM_100_6000	舌が長いポケモンか……\n近くにいるなら　すぐ見つけちゃおう
A1_10440_WOMANQUIZ_100_11000	わたし　ここで待ってるから\nポケモンを見つけたら教えてね！
A1_10440_WOMANQUIZ_100_12000	正解できたら　そのポケモンの\n雑学を教えてあげるから！
A1_1050_PIKACHU_100_1000	よし　ホリデイの後を追おう
A1_10510_USOKKIE_100_1000	ウソッキー！
A1_10510_TIM_100_1000	うわ！　こんなところに木が生えてると\n思ったら　ポケモンだ！
A1_10510_PIKACHU_100_1000	ウソッキーだな\n木の真似をする習性があるんだ
A1_10510_USOKKIE_100_2000	ウソウソ！
A1_10510_PIKACHU_100_2000	木の真似をする練習中なのか
A1_10510_TIM_100_2000	でも　こんな場所でやったら\n通行のじゃまになっちゃうね
A1_10510_PIKACHU_100_3000	その通りだな
A1_10510_PIKACHU_100_4000	おい　ウソッキー　練習なら\nもっと違う場所でやった方がいいぞ
A1_10510_PIKACHU_100_5000	ここじゃバレバレだ
A1_10510_USOKKIE_100_3000	ウソ！？\nウソッキ……
A1_10510_TIM_100_3000	あわてて　どこかに行ったね
A1_10510_PIKACHU_100_6000	本人はアレでうまく真似てる\nつもりだったんだろうな
A1_10600_TIM_100_1000	ん？　やけに水面が光ってる気が……\nなんだろう？
A1_10600_MAAIIKA_100_1000	イッカ！
A1_10600_TIM_100_2000	わっ！　なにかあると思ったら\nポケモン！？
A1_10600_PIKACHU_100_1000	ティム　こいつはマーイーカだ
A1_10600_PIKACHU_100_2000	奇妙な光で　仲間と\nコミュニケーションを取るらしい
A1_10600_PIKACHU_100_3000	しかし　いたずらでおびき寄せるために\n体を光らせるヤツが　いたとはな
A1_10600_TIM_100_3000	うん　びっくりしたよ……
A1_10600_MAAIIKA_100_2000	イッカ！
A1_10600_PIKACHU_100_4000	おい　マーイーカ　人を驚かせるのも\nほどほどに　しておけよ
A1_10610_MAAIIKA_100_1000	イーッカ！
A1_10610_TIM_100_1000	あんまりイタズラしちゃ　ダメだよ
A1_10700_MAHOMIL_200_1000	ホミィ！
A1_10700_TIM_200_1000	また今度　コーヒーを飲みに来るね
A1_10700_MAHOMIL_300_1000	ホミィ
A1_10700_PIKACHU_300_1000	おや　マホミルがいるな
A1_10700_TIM_300_1000	パブロさん　この子はどうしたんですか？
A1_10700_PABLO_300_1000	最近　うちに住みついてきたヤツでね\nどこの土地から　やって来たんだろう？
A1_10700_MAHOMIL_300_2000	ホミィ
A1_10700_PABLO_300_2000	マホミル　ティムくんやピカチュウは\nそれぞれ　好きなブレンドがあるんだ
A1_10700_PABLO_300_3000	勝手にクリームを注いじゃ　ダメだよ
A1_10700_MAHOMIL_300_3000	ホミィ？　ホミィ……
A1_10700_PIKACHU_300_2000	オレは　ブラックが好きだからな\nティム　おまえが入れてもらったらどうだ？
A1_10700_TIM_300_2000	そうだね　いいかおりがするし\n今度　組み合わせを　ためしてみよう
A1_10700_MAHOMIL_300_4000	ホミホミ！　ホミィ！
A1_1080_HOLIDAY_100_1000	ああ　追いつかれてしまったね
A1_1080_HOLIDAY_100_2000	こっちだ　ティムくん\n事件現場のデニス邸は　この先だよ
A1_1090_PIKACHU_100_1000	おい　ティム\n事件現場はそっちじゃないぞ
A1_1100_PIKACHU_100_1000	おい　ティム\nいまはコーヒーを飲んでる時間はないぞ
A1_11010_DCBOY01_100_1000	もう　ベロリンガったら\nまた動かなくなっちゃったよ
A1_11010_DCBOY01_100_2000	すぐ　なにかに\n気を取られるんだから
A1_11020_DAWOMAN01_100_1000	ここは　ポケモンのための\n水飲み場なのよ
A1_11020_DAWOMAN01_100_2000	うちのアマージョは\nここの水がとってもお気に入りなの
A1_11030_DABUSINESSWOMAN01_100_1000	誰かが道の真ん中に\n木を植えたみたいなの
A1_11030_DABUSINESSWOMAN01_100_2000	じゃまでしょうがないわ
A1_11035_DABUSINESSWOMAN01_100_1000	あれ？　あそこの木が\nいつの間にか　花壇に植え替わってる
A1_11050_DHGIRL01_100_1000	いいよー　マラカッチ！\nかわいく　踊れてる！
A1_11050_DHGIRL01_100_2000	はい　ワンツー　ワンツー
A1_11050_MARACACCHI_100_1000	カラッチ！
A1_1110_NYOROBON_100_1000	ニョロォ！
A1_1110_HARITEYAMA_100_1000	ハリハリィ！
A1_1110_PIKACHU_100_1000	ニョロボンとハリテヤマだ\nなんか妙な雰囲気だな……
A1_1110_TIM_100_1000	いまにもケンカしそうだね……
A1_1110_PIKACHU_100_2000	ヘタに刺激しない方がいいだろうな\nこっちの道に進むのは　やめておこう
A1_1110_NYOROBON_200_1000	ニョロォ！
A1_1110_HARITEYAMA_200_1000	ハリハリィ！
A1_1110_PIKACHU_200_1000	この道は危ないな……\nいまは近づくのはよそう……
A1_1115_DAGIRL01_100_1000	ハリテヤマったら　またニョロボンと\nはりあって……
A1_1115_DAGIRL01_100_2000	いつもは優しいのに　どうして\nこうなっちゃうのかしら？
A1_1115_TIM_100_1000	なにかあったの？
A1_1115_DAGIRL01_100_3000	パートナーのハリテヤマは\nチカラ比べが大好きなの
A1_1115_DAGIRL01_100_4000	だから筋肉自慢のニョロボンを\nライバルだと思ってるのよね
A1_1115_DAGIRL01_100_5000	ああ　なっちゃうと\nなかなか止められないのよ
A1_1115_PIKACHU_100_1000	やれやれ　しばらくあの道は\n通らない方がよさそうだ
A1_1120_PIKACHU_100_1000	おい　ティム\n事件現場はそっちじゃないぞ
A1_1215_TIM_100_1000	お久しぶりです　ブラッドさん
A1_1215_TIM_100_2000	ブラッドさんも\n来ていたんですね
A1_1215_BRAD_100_1000	それはこっちのセリフだよ\nまた探偵がクビをつっこんでくるとは……
A1_1215_BRAD_100_2000	デニス氏の依頼でなければ\nお帰りいただいているところだよ
A1_1215_PIKACHU_100_1000	相変わらず　感じのわるいヤツだな
A1_1215_PIKACHU_100_2000	昔　オレたちに出し抜かれたことを\nまだ根に持ってやがるのか？
A1_1215_LIVOLT01_100_1000	ラーイボ
A1_1215_PIKACHU_100_3000	勝手な真似はするな　だと
A1_1215_PIKACHU_100_4000	まったく……！\nおまえたちは　お似合いなコンビだな！
A1_1215_HOLIDAY_100_1000	そこまでにしたまえ　ブラッドくん\nいまから　いっしょに捜査をするんだ
A1_1215_TIM_100_3000	ここが事件現場なんですね？
A1_1215_BRAD_100_3000	ああ　宝石商サンジーヴ・デニスの屋敷だ
A1_1230_BRAD_100_1000	デニス氏は　ライムシティ有数の資産家
A1_1230_BRAD_100_2000	一般市民のキミには\n本来　縁のない人物だ
A1_1230_BRAD_100_3000	せいぜい失礼のないように　そして\n警察の捜査のじゃまをしないようにな
A1_1230_PIKACHU_100_1000	なんか言わないと気がすまないのか\nこいつは
A1_1230_HOLIDAY_100_1000	じゃあ　ティムくん\n中に入ってくれ
A1_1311_HOLIDAY_100_1000	では　ティムくん\nデニスさんは右の部屋で待っているよ
A1_1311_TIM_100_1000	わかりました　ホリデイ警部
A1_1314_PIKACHU_100_1000	おいおい　ホリデイが言ってた部屋は\nそっちじゃないぞ
A1_1316_HOLIDAY_100_1000	向かって右の部屋が応接室だ\nそこでデニスさんが待っている
A1_1316_HOLIDAY_100_2000	よろしくたのむよ　ティムくん
A1_1330_DENIS_100_1000	わたしは　宝石商のサンジーヴ・デニス\nこっちは　パートナーのガーディだ
A1_1330_GARDIE_100_1000	ガウ……
A1_1330_TIM_100_1000	探偵のティム・グッドマンと\n相棒のピカチュウです
A1_1330_TIM_100_2000	さっそくですが　事件について\n話を聞かせてもらえますか？
A1_1330_DENIS_200_1000	えんりょせず　なんでも聞いてくれ
A1_1330_SEL_0_1000	事件について
A1_1330_SEL_0_2000	信頼する執事について
A1_1330_SEL_0_3000	復興のシンボルについて
A1_1330_SEL_0_4000	ガーディの食事について
A1_1330_DENIS_300_1000	わたしの留守中に\n大切な宝石が盗まれてしまったんだ
A1_1330_DENIS_300_2000	「オーロラの雫」と言って\nとても珍しい宝石でね
A1_1330_TIM_300_1000	オーロラの雫……
A1_1330_PIKACHU_300_1000	オーロラノシズク\nなんとも　神秘的な名前だな
A1_1330_DENIS_300_3000	<color=#F39800FF>犯人は　留守をまかせていた使用人に\nケガを負わせて　宝石を盗んで行ったんだ</color>
A1_1330_DENIS_300_4000	幸い　使用人のケガは軽傷で済んだが……
A1_1330_TIM_300_2000	なにか　気になる点でも？
A1_1330_DENIS_300_5000	じつは……　わたしが信頼する執事が\n容疑者として疑われてしまっているんだ
A1_1330_PIKACHU_300_2000	信頼する執事が　疑われている……？
A1_1330_TIM_300_3000	まず　奪われた宝石について\n教えていただけますか？
A1_1330_DENIS_300_6000	これだよ
A1_1330_DENIS_300_7000	普通の宝石は　美しい石を削って\n加工したものなのだが……
A1_1330_DENIS_300_8000	オーロラの雫は　最初から\nこの形だったと言われているんだ
A1_1330_TIM_300_4000	なんだか　光り方が　オーロラみたいですね
A1_1330_DENIS_300_9000	それが　オーロラの雫と呼ばれる由縁だよ
A1_1330_DENIS_300_10000	オーロラの雫の名は　古い文献にあるだけで\nその存在は疑われていてね
A1_1330_DENIS_300_11000	我々　宝石商のあいだでも　長いこと\n「伝説の宝石」と呼ばれていたんだ
A1_1330_PIKACHU_300_3000	そんなに珍しい宝石なのか\nそりゃ　狙われても不思議じゃないな
A1_1330_TIM_300_5000	とても貴重な宝石ですが\nどこかに　飾っていたのですか？
A1_1330_DENIS_300_12000	宝石保管室にある　専用の強化ケースに\n入れて　厳重に保管していたんだ
A1_1330_DENIS_300_13000	宝石保管室と強化ケース\nそれぞれにカギもついていたんだが……
A1_1330_TIM_300_6000	そこまでしていたのに\n奪われてしまったんですね
A1_1330_TIM_400_1000	先ほど　信頼する執事が容疑者に　と\nお話しされていましたが……
A1_1330_DENIS_400_1000	警察は我が家の執事であるバーンズを\n犯人だと疑っている
A1_1330_TIM_400_2000	なぜ警察が？
A1_1330_DENIS_400_2000	それは　宝石保管室のカギを使えるのが\nわたしとバーンズだけ　だからだ
A1_1330_TIM_400_3000	宝石保管室のカギを使えるのは\nおふたりだけなんですか？
A1_1330_DENIS_400_3000	カギは　いつも\nガーディの首にかけているんだ
A1_1330_DENIS_400_4000	わたしとバーンズ以外の人間が\nカギを取ろうとすると　ガーディがほえる
A1_1330_DENIS_400_5000	わたしのガーディは忠実なポケモンだ\n他人にカギをわたすはずはない
A1_1330_TIM_400_4000	いまはガーディの首には\nカギがついていないようですね
A1_1330_DENIS_400_6000	警察は　バーンズが持ち出したと\n考えているんだ
A1_1330_PIKACHU_400_1000	たしかに　犯人がバーンズならば\nそれで　つじつまは合うな
A1_1330_TIM_400_5000	デニスさん　バーンズさんから\nお話をうかがいたいのですが……
A1_1330_DENIS_400_7000	いまは　警察の取り調べを受けているよ
A1_1330_TIM_400_6000	デニスさんは\nバーンズさんが犯人のはずはないと？
A1_1330_DENIS_400_8000	バーンズとは　幼い頃からの付き合いだ\n長年この家に仕えてきた　立派な執事でね
A1_1330_DENIS_400_9000	盗みをするような人間でないことは\nよくわかっている
A1_1330_DENIS_400_10000	ましてや　人にケガを負わせるなんて\nあるはずがない
A1_1330_TIM_400_7000	バーンズさんではない　別の誰かが犯人だと\nそう　おっしゃるのですね？
A1_1330_DENIS_400_11000	そうだ　真犯人は別にいる\nバーンズの無実を　証明してもらいたい！
A1_1330_PIKACHU_400_2000	ふむ　執事の疑いを晴らしたい\nそれが　オレたちを呼んだ理由か
A1_1330_TIM_400_8000	後で　バーンズさんから話を聞いてみよう
A1_1330_TIM_500_1000	オーロラの雫が\nなぜ復興のシンボルなんでしょうか？
A1_1330_DENIS_500_1000	２年前のＲ事件……　あのとき\nわたしの宝石店にも　大きな被害が出たんだ
A1_1330_TIM_500_2000	えっ？　デニスさんも被害に？
A1_1330_DENIS_500_2000	ああ　薬品Ｒを与えられた\nポケモンたちが暴れだし……
A1_1330_DENIS_500_3000	宝石店は全壊し　売りものの宝石も\n多くがキズ物になってしまった
A1_1330_DENIS_500_4000	そのときすでに　わたしはオーロラの雫を\n手に入れ　店で保管していたのだが……
A1_1330_TIM_500_3000	じゃあ　オーロラの雫も？
A1_1330_DENIS_500_5000	いや　ところが　そうはならなかった
A1_1330_DENIS_500_6000	数ある宝石の中で　オーロラの雫だけが\nなぜか　まったくの無キズだったんだ
A1_1330_DENIS_500_7000	ガレキが　まるでオーロラの雫を守るように\nおおいかぶさっていた　おかげでね
A1_1330_TIM_500_4000	そんなことが！？
A1_1330_PIKACHU_500_1000	不思議なことも　あるもんだ
A1_1330_DENIS_500_8000	それ以来　オーロラの雫は\n「Ｒ事件を生き延びた宝石」と評判になり
A1_1330_DENIS_500_9000	オーロラの雫を見るために\n来店するような客まで現れはじめ……
A1_1330_DENIS_500_10000	そのおかげで　わたしの商売は盛り返した
A1_1330_TIM_500_5000	そんな価値のある宝石を　なぜお店ではなく\nお屋敷に保管していたのですか？
A1_1330_DENIS_500_11000	それは　ライムシティに\nこの宝石を寄贈するためさ
A1_1330_TIM_500_6000	大事な宝石なのに\n寄贈されるんですか？
A1_1330_DENIS_500_12000	大事な宝石だからこそ　だよ\nハワード市⻑はポケモン友好週間を打ち出し
A1_1330_DENIS_500_13000	よりよい街をつくろうとしている\nわたしも協力したいと思ったんだ
A1_1330_DENIS_500_14000	「Ｒ事件を生き延びた宝石」を\nライムシティ復興のシンボルにする
A1_1330_DENIS_500_15000	そうすれば　わたしの店だけでなく\nライムシティ全体が盛り上がるはずだ
A1_1330_PIKACHU_500_2000	やるじゃないか　デニス
A1_1330_TIM_500_7000	すばらしいお考えですね
A1_1330_DENIS_500_16000	そう言ってもらえると　うれしいよ\n喜んでくれる人ばかりではないのでね
