A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの　だいじなぼうしを\nもっていっちまった
A1_19160_TIM_100_1000	こどもたちが　せんろの　うえを\nあるいてるね\nなんの　えいがだろう？
A1_19160_PIKACHU_100_1000	こどもたちの　ひとなつの　ぼうけんを\nえがいた　えいがだな\nめいさくとして　しられている
A1_19160_TIM_100_2000	ピカチュウ　くわしいね\nあ！　ビッパの　むれが　でてきたよ
A1_19160_PIKACHU_100_2000	この　シーンが\nかんどうてきなんだ……　って　みてると\nしごとを　わすれそうだ　いくぞ　ティム
A1_19170_PIKACHU_100_1000	お　パブロのヤツ　どうやら\nあたらしい　まめを　しいれたみたいだな
A1_19170_PIKACHU_100_2000	こんやあたり　ひとりで\nのみにくると　するかな
A1_19170_TIM_100_1000	あとで　ぼくが　おかねを　はらうんだから\nほどほどにしてね
A1_19180_TIM_100_1000	キレイな　ほうせきだね
A1_19180_PIKACHU_100_1000	この　とうめいど　この　かがやき……\nまさに　ブリリアントな\nいっきゅうひん　だな
A1_19190_TIM_100_1000	みどりいろの　ほうせきだ
A1_19190_PIKACHU_100_1000	もりの　なかに　いるような\nおだやかな　みどりが　おちつくぜ
A1_1920_TIM_100_1000	あかいポケモン　というのは\nコマタナの　ことなんだろうか？
A1_1920_PIKACHU_100_1000	やしきに　はいった　エルフーンとは\nなかの　いい　ポケモンらしいからな
A1_1920_PIKACHU_100_2000	かのうせいは　たかい
A1_1920_PIKACHU_100_3000	あとは　あって\nたしかめてみるのが　はやそうだ
A1_1920_TIM_300_1000	エルフーンと　コマタナは\nいこいのこうえんで\nよく　あうって　はなしだったよね？
A1_1920_PIKACHU_300_1000	ああ　そこを　さがせば\nコマタナに　あえるかもしれないな
A1_1920_PIKACHU_300_2000	さっそく　いってみようぜ　ティム！
A1_1920_TIM_400_1000	ただ　コアルヒーの　ゆくえも\nおわないとね
A1_1920_PIKACHU_400_1000	コアルヒーを　さがしに　いくか\nそれとも　コマタナを　さがしに　いくか
A1_1920_PIKACHU_400_2000	どっちを　さきに　しらべても\nかまわないな
A1_1920_PIKACHU_400_3000	おまえの　すきな　ほうから\nしらべて　いいんじゃないか？
A1_1920_TIM_400_2000	ありがとう　ピカチュウ\nそうしてみるよ
A1_19200_TIM_100_1000	あおい　ほうせきだ
A1_19200_PIKACHU_100_1000	うみの　そこの　ような\nふかい　あおいろが　しんぴてきだな
A1_19210_TIM_100_1000	あかい　ほうせきだ
A1_19210_PIKACHU_100_1000	にえたぎった　マグマのような\nあざやかな　あかが　まぶしいぜ
A1_1931_TIM_100_1000	このさきの　みちの　ほうに\nにげていったよね？
A1_1931_TIM_100_2000	はなしを　ききたいから\nちょっと　おいかけてみようかな
A1_1931_PIKACHU_100_1000	うまく　みつかれば　いいが……
A1_1935_TIM_100_1000	あれ　いないな……
A1_1935_PIKACHU_100_1000	どこかに　かくれちまったみたいだな
A1_1935_PIKACHU_100_2000	ここに　いても　しかたがない\nべつのヤツに　はなしを　きくとしよう
A1_1940_TIM_100_1000	あっ……！\nまた　にげられちゃった……
A1_1940_PIKACHU_100_1000	そうとう　にんげんのことを\nこわがってるみたいだな
A1_1946_TIM_100_1000	おおきな　こうえんだね
A1_1946_PIKACHU_300_1000	ここが　いこいのこうえん　だな
A1_1946_TIM_300_1000	エルフーンの　はなしでは　ここに\nコマタナが　いるって　はなしだったね
A1_1946_PIKACHU_300_2000	みはらしだいで　よく　あうって\nいってたな
A1_1946_PIKACHU_300_3000	さがしてみるか
A1_1946_PIKACHU_400_1000	ここは　いこいのこうえんだ
A1_1946_PIKACHU_400_2000	まちじゅうの　ひとや　ポケモンたちが\nいやしを　もとめて\nここに　あつまってくるんだ
A1_1946_TIM_400_1000	ポケモンたちに　とっても\nにんきの　ばしょなんだね
A1_1946_PIKACHU_400_3000	ああ　まちなかじゃ　あわないような\nポケモンも　ここに　きたりするんだ
A1_1946_PIKACHU_400_4000	じかんが　あいたら\nさんぽを　してみても　いいかもな
A1_1948_PIKACHU_100_1000	いこいのこうえんの　ちずだ
A1_1948_TIM_100_1000	ほんとうに　おおきな　こうえんだね
A1_1948_PIKACHU_100_2000	いちばん　おくが\nみはらしだいに　なってるんだな
A1_1960_NONAMEMURDOCH_100_1000	おっと！　じこしょうかいが　まだだった！
A1_1960_MURDOCH_100_1000	わたしは　チャールズ・マーロック
A1_1960_MURDOCH_100_2000	ライムシティで　ポケモンへの\nりかいを　ふかめるための\nけんきゅうを　している　かがくしゃだ
A1_1960_PIKACHU_100_1000	かがくしゃ　だと？
A1_1960_MURDOCH_100_3000	なに？　わたしの　かつどうないようを\nしりたいのかい？
A1_1960_TIM_100_1000	いえ　べつに　きいてはいませんが……
A1_1960_MURDOCH_100_4000	わたしの　けんきゅうかつどうが\nハワードしちょうに　みとめられてね
A1_1960_MURDOCH_100_5000	しちょうや　しぎかいが　りつあんする\nあたらしい　せいさくの\nおてつだいを　することに　なったんだ
A1_1960_MURDOCH_100_6000	いってみれば\nライムシティの　せいさくブレーンだな！
A1_1960_TIM_100_2000	あつが　すごい……
A1_1960_PIKACHU_100_2000	どうやら　こいつは　ひとの　はなしを\nきかない　タイプの　ようだな……
A1_1960_MURDOCH_100_7000	というわけで　めいたんていコンビの\nふたり　しつもんが　あるなら\nなんでも　きいてくれ
A1_1960_MURDOCH_100_8000	なぜなら　わたしと　キミたちには\nきょうつうてんが　ある
A1_1960_MURDOCH_100_9000	ライムシティに　やくだつ　かつどうを\nしている　という　いみで
A1_1960_MURDOCH_100_10000	われわれは　おなじ　たちば\nココロザシを　ともにした　なかまだ
A1_1960_MURDOCH_100_11000	キミたちの　しつもんなら\nなんでも　こたえる　つもりだよ
A1_1960_TIM_100_3000	あ　ありがとうございます……
A1_1960_PIKACHU_100_3000	しかたない　めんどくさいが\nすこし　つきあってやるか
A1_1960_SEL_0_1000	けんきゅうに　ついて
A1_1960_SEL_0_2000	せいさくの\nおてつだいに　ついて
A1_1960_TIM_300_1000	マーロックさんは\nどんな　けんきゅうを　しているんですか？
A1_1960_MURDOCH_300_1000	ひとと　ポケモンの　コミュニケーションに\nかんする　けんきゅうさ
A1_1960_TIM_300_2000	なんだか　むずかしそうですね……
A1_1960_MURDOCH_300_2000	いやいや　そんなことは　ないよ
A1_1960_MURDOCH_300_3000	つまり　ポケモンに　ひとの　ことばを\nりかい　してもらうって　ことだからね
A1_1960_MURDOCH_300_4000	もし　それが　じつげん　できたら\nライムシティが　もっと　たのしく……
A1_1960_MURDOCH_300_5000	もっと　くらしやすい　まちに　なる！
A1_1960_PIKACHU_300_1000	オレと　ティムのような　やりとりが\nだれでも　できるように　なるって　ことか
A1_1960_TIM_300_3000	たしかに　それが　できたら\nライムシティは　もっと\nいいまちに　なりますね
A1_1960_MURDOCH_300_6000	そうだろう？
A1_1960_TIM_400_1000	しちょうの　せいさくの\nおてつだい　というのは\nどんなことを　しているんですか？
A1_1960_MURDOCH_400_1000	わたしは　かがくしゃなので\nせいじや　ほうりつの\nていあんは　できない
A1_1960_MURDOCH_400_2000	わたしが　できることは\nかいはつした　そうちや　きかいを……
A1_1960_MURDOCH_400_3000	しみんや　ポケモンの　ために\nていきょう　することだ
A1_1960_MURDOCH_400_4000	かがくぎじゅつで\nライムシティに　こうけんする\nそれが　わたしの　ほこりでも　ある！
A1_1960_TIM_400_2000	すばらしいですね
A1_1960_MURDOCH_400_5000	そうだろう！
A1_1960_MURDOCH_400_6000	ハワードしちょうは「ポケモンとの\nきょうせい」という　かんがえに　もとづく\nほうあんを　かんがえ……
A1_1960_MURDOCH_400_7000	わたしは　その　ほうあんに\nかがくしゃとして　こたえるのだ！
A1_1960_PIKACHU_400_1000	なんか　えんぜつが　はじまりそうだな……
A1_1960_TIM_400_3000	くらしを　よくしたいって\nねついは　つたわったね
A1_1980_MURDOCH_100_1000	おや　ピカチュウくんは　おいかりかな？
A1_1980_MURDOCH_100_2000	まあ　ちょっと　けを\nとらせて　もらっただけだから\nすぐに　おわるよ
A1_1980_TIM_100_1000	いったい　なにを　してるんですか？
A1_1980_MURDOCH_100_3000	これは　ハワードしちょうの\nようぼうに　こたえて　かいはつした……
A1_1980_MURDOCH_100_4000	ポケモンの　しんたいデータを\nたんじかんで　けいそくする　マシンだ
A1_1980_MURDOCH_100_5000	ポケモンの　けんこうじょうたいを\nしること
A1_1980_MURDOCH_100_6000	それは　パートナーにとっても\nだいじな　ことだろう
A1_1980_TIM_100_2000	それは　たしかに　そうですね
A1_1980_PIKACHU_100_1000	そうなら　そうと　いってくれよ……
A1_1980_MURDOCH_100_7000	はい　これで　ＯＫ！\nどれどれ……　おお！？
A1_1980_TIM_100_3000	どうでしたか？
A1_1980_MURDOCH_100_8000	えっ　カフェイン？
A1_1980_PIKACHU_100_2000	カフェインが　どうかしたのか？
A1_1980_MURDOCH_100_9000	たんていを　している　ピカチュウだ\nふつうじゃないとは　おもっていたが……
A1_1980_MURDOCH_100_10000	これは　じつに　きょうみぶかい！
A1_1980_TIM_100_4000	きいてますか？\nマーロックさん
A1_1980_MURDOCH_100_11000	ああ　すまない！\nまったくもって　もんだいなかったよ
A1_1980_MURDOCH_100_12000	ポケモンにしては\nちゅうせいしぼうが　たかいようだが
A1_1980_PIKACHU_100_3000	ちゅ……
A1_1980_MURDOCH_100_13000	ただ　ふつうのピカチュウとは\nすこし　ちがうようだ
A1_1980_PIKACHU_100_4000	えっ……？\nオレは　ふつうじゃ　なかったのか……
A1_1980_TIM_100_5000	チェックも　おわったみたいですし\nぼくたち　そろそろ　いきますね
A1_1980_MURDOCH_100_14000	つきあわせてしまって　すまなかったね\nがんばってくれ　めいたんていコンビ
A1_1980_TIM_100_6000	ありがとうございます
A1_1980_TIM_100_7000	ほら　ピカチュウ\nいつまでも　おちこんでないで　いくよ
A1_1980_PIKACHU_100_5000	ちゅうせいしぼう……
A1_2010_PIKACHU_100_1000	……どうした\nきゅうに　だまって？
A1_2010_TIM_100_1000	あの　まどって　ほうせきほかんしつの\nまえの　まどだよね？
A1_2010_TIM_100_2000	そらを　とべるポケモンなら\nここから　やしきに\nむかうこともできるなって
A1_2010_PIKACHU_100_2000	ああ　はんにんが　ポケモンのちからを\nりようするなら　ぜっこうの\nばしょ　かもしれんな
A1_20110_TIM_100_1000	ガーディとの　ちょうさは\nおわりに　する？
A1_20110_SEL_0_1000	はい
A1_20110_SEL_0_2000	いいえ
A1_20110_PIKACHU_300_1000	ああ　もう　じゅうぶんだろう
A1_20110_PIKACHU_300_2000	ありがとな　ガーディ！
A1_20110_GARDIE_300_1000	ガウ！
A1_20110_PIKACHU_400_1000	いや　もうすこし\nしらべておきたいことが　ある
A1_20110_TIM_400_1000	わかった　ちょうさが　おわったら\nこえを　かけてね
A1_20120_DENIS_100_1000	おや？\nふたり　そろって　おでかけかな？
A1_20120_GARDIE_100_1000	（まっててね！　あたし　やくに　たてるよう\n　がんばるからね　サンジーさん！）
A1_20120_DENIS_100_2000	ガーディ　さっきまで　おちこんでいたのに\nずいぶん　げんきに　なったね
A1_20120_DENIS_100_3000	ピカチュウの　おかげかな？\nさあ　きをつけて　いってくるんだよ
A1_20120_PIKACHU_100_1000	ことばは　つたわらなくても\nガーディの　きもちは\nつたわってるみたいだな
A1_20130_HOLIDAY_100_1000	うん？　わたしに　なにか　ようじかな？
A1_20130_GARDIE_100_1000	（あたしが　じけんを　かいけつするから\n　まかせておいて！）
A1_20130_PIKACHU_100_1000	やるき　まんまんじゃないか　ガーディ
A1_20130_GARDIE_100_2000	（うん！）
A1_20140_TURNER_100_1000	２ひきで　あそんでるのか\nきらくで　いいなあ　ポケモンは……
A1_20140_GARDIE_100_1000	（あそんでるんじゃ　ないよ！\n　じけんの　ちょうさに　いってくるの！）
A1_20140_GARDIE_100_2000	（まったく　しつれいしちゃう！）
A1_20140_PIKACHU_100_1000	あそんでるんじゃない　ってことは\nけっかで　しょうめい　してやろうぜ
A1_20150_CLAUDIA_100_1000	まったく　いつになったら\nじけんは　かいけつ　するのかしら
A1_20150_GARDIE_100_1000	（きげんが　わるそうだね……）
A1_20150_PIKACHU_100_1000	いまは　はなしかけないでおこう
A1_20160_PIXY_100_1000	（あんたたち　こんなときに\n　なにを　あそんでるのよ？）
A1_20160_GARDIE_100_1000	（あそんでるんじゃ　ないよ\n　たんていさんの　おてつだいを　してるの）
