Text/archive
ARC_ARCHIVE_TXT_01	在故事中登场的人物。
ARC_ARCHIVE_HITODAMA_TXT_0027	身高：容易瞄准的大小\n体重：不会被吹飞的重量\n性格：专一\n兴趣：占卜\n\n飞刀靶是个专一且热爱占卜的少女。\n她热衷于通过占卜寻找命定之人，\n精通世间一切占卜方法。\n水晶球占卜、自制塔罗牌占卜、花瓣占卜、\n还有占星术自不必说，她最擅长的是飞刀占卜。\n向飞刀靶投掷飞刀，根据投中的部位占卜吉凶，\n这种占卜方式虽然极为过激，但由于十分稀奇，\n受到了人魂们的好评。\n但是飞刀靶在占卜过程中会移动身体，\n所以要投中就已经十分不容易了。\n顺带一提，如果投中了靶心就会被她认定为\n命定之人，不过目前尚无人一刀正中红心。
ARC_ARCHIVE_HITODAMA_TXT_0028	身高：7个肿包\n体重：和沙袋差不多\n性格：粗神经\n兴趣：拳击练习\n\n布鲁士是个追求疼痛的怪人。\n变成人魂后，他有了一个想法。\n或许能通过习惯来缓解疼痛？\n成为人魂后，只要不产生负面情感，\n不让能量枯竭，便不会死亡。\n也就是说，只要把自己训练到不管承受怎样的\n疼痛都不会产生负面情感，就能永远活下去。\n从此以后，布鲁士开始了忍耐疼痛的特训。\n他自愿充当沙袋，用身体承受其他人魂的攻击。\n然而在旁人看来，他似乎很希望别人来弄痛他，\n因此伙伴们认定他是个彻头彻尾的怪人。\n但对他而言，这也是特训的一环。
ARC_ARCHIVE_HITODAMA_TXT_0029	身高：没测过……\n体重：没在意过……\n性格：怠惰\n兴趣：午睡\n\n辛迪是个懒人。\n他浑身烧焦，始终没有丝毫干劲。\n绝对不会去做别人拜托他的工作。\n别人没拜托的工作自然更不会去做。\n早上醒来第一件事是睡个回笼觉。\n等醒了就立刻开始午睡。\n整天游手好闲，回过神来时已经到了晚上。\n由于他一直过着这样的生活，\n伙伴们已经见怪不怪。\n以至于他每年一次心血来潮想干点活时，\n反倒会让人魂们表示担心。\n如此懒散的辛迪在来到森林前其实是个\n勤勉的少年。他希望从日夜工作不停的\n生活中解脱，才造访了阿瓦隆森林。\n某种意义上来说，他现在或许很幸福。
ARC_ARCHIVE_HITODAMA_TXT_0030	身高：5个打火机\n体重：不会燃尽的重量\n性格：热血男儿\n兴趣：熏制\n\n焦炭仔是个部分身体烧焦的人魂。\n他曾经因为掩护伙伴而被妖精抓住，\n妖精们威胁他让他吐露伙伴们的所在，\n但他誓死不屈。结果身体被火焰烧灼。\n但他并不后悔，不仅不后悔，\n甚至把自己的烧伤视作保护了伙伴的勋章。\n对始终面临困境的人魂们来说，像他这样的\n热血男儿是能够鼓舞大家的大哥角色。\n兴趣是熏制，他会自己去收集材料，\n并用香草熏制，招待肚子饿了的人魂。\n烧灼身体的火焰如今也在逐步侵蚀着他，\n他决心抬头挺胸地活着，\n向周围的人魂们展现自己的生存方式。
ARC_ARCHIVE_HITODAMA_TXT_0031	身高：拉长的话有2米\n体重：去掉头有10克\n性格：不知轻重\n兴趣：栽培植物\n\n芽芽是个喜欢栽培植物的人魂。\n他成为人魂后，被妖精们在脑袋上种了个植物。\n他清楚植物在吸收自己的营养，\n但不知为何，他似乎完全不打算把它拔掉。\n不仅如此，他甚至把增加植物当作自己的使命，\n如今正在秘密基地的角落里培育着各种植物。\n有时候不知轻重，就算需要食物的伙伴拜托他\n分一点植物，他也会不由分说地无情拒绝。\n对他来说，栽培可爱的植物比人魂伙伴更重要。\n他坚信每一天都应当为植物鞠躬尽瘁，\n始终在秘密基地的一角勤恳地照顾着植物。
ARC_ARCHIVE_HITODAMA_TXT_0032	身高：16根皮带\n体重：和皮带扣差不多重\n性格：爱管闲事\n兴趣：闲聊\n\n皮带头是个话超多的人魂，\n一旦打开话头，几个小时都停不下来。\n她还很爱管闲事，一旦发现有烦恼的人魂，\n就会以惊人的速度接近对方，\n一边闲聊一边试图解决问题。\n由于她整天都在闲聊，所以知道很多事，\n认识的人也多，所以有什么烦恼的话，\n可以去找皮带头商量，大多都能解决。\n不过她有时会擅作主张，\n不问当事人的意见就自行定下解决方案。\n但其实当人魂产生烦恼时，\n很可能就已经被她察觉，所以不管情愿与否，\n往往都只能对她想出来的解决方案听之任之。\n她的存在就是“情报就是武器”\n这句话的最好体现。
ARC_ARCHIVE_HITODAMA_TXT_0033	身高：和长针加短针的长度差不多\n体重：和2根长针差不多\n性格：沉着冷静\n兴趣：刺绣\n\n针针的特点是他非同寻常的专注能力。\n一旦开始做某件事，不管周围发生了什么，\n他都能毫无波澜地完成手上的工作。\n他集中精神做出来的刺绣格外美丽，\n深受人魂们的好评。始终沉着冷静，\n从没人见过他乱了阵脚的样子。\n另一方面，由于他过于专注，\n时常会埋头工作直至超出自己的极限，\n不吃不喝地一直刺绣，不知多少次饿到晕厥。\n技艺高超却性格笨拙，这样的他被周围人所喜爱。\n如果看见他正在工作，就在周围放好食物，\n这已经成了大家的一项默契。
ARC_ARCHIVE_HITODAMA_TXT_0034	身高：和钢丝的全长一样\n体重：和钢丝的总重量一样\n性格：容易害羞\n兴趣：跳舞、唱歌\n\n钢丝宝是个开朗活泼的少女。\n虽然也有容易害羞的一面，\n但有她的地方气氛就会欢快起来。\n兴趣是自创舞蹈和歌曲，要是被伙伴们央求，\n哪怕害羞得满脸通红也会表演给大家看。\n由于头部被妖精缠上了带刺的钢丝，\n所以无法直接碰触伙伴，本人为此暗自伤神。\n但伙伴们对此毫不在意，\n视她为能够治愈疲惫身心的小太阳，\n非常喜欢她。\n原本的梦想是当上歌手站上大舞台，\n不过她现在觉得给伙伴们唱歌跳舞的日子\n好像也不坏。
ARC_ARCHIVE_HITODAMA_TXT_0035	身高：1.5个大剪子\n体重：0.5个大剪子\n性格：聪明能干\n兴趣：国际象棋\n\n剪剪是人魂中的贤者。\n思维敏捷，足智多谋。\n他将自己的聪慧大脑用于秘密基地的增建改建，\n会去找妖精们丢掉的垃圾，\n画出有趣的游乐设施设计图。\n实际上，秘密基地里大部分的游乐设施\n都是由他设计并改良的。\n他对人魂们的贡献之大简直难以估量。\n不过，他对没兴趣的事情毫无干劲，\n从来没设计过从妖精手中保护大家的设施。\n在杀气冲天的阿瓦隆森林，娱乐是很重要的。\n剪剪不断地提供娱乐，以舒缓大家紧绷的神经，\n他毋庸置疑是一位人魂的贤者。
ARC_ARCHIVE_HITODAMA_TXT_0036	身高：感觉会被切碎所以无法测量\n体重：和头上的刀刃差不多\n性格：干练\n兴趣：辩论\n\n剃剃的性格干练。对任何事都喜欢黑白分明，\n最讨厌不上不下的状态。\n因此总能见到她对伙伴们言辞犀利，\n所以有不少人魂会故意疏远她。\n但她本人对此早已做好心理准备。\n在阿瓦隆森林被妖精们追赶是家常便饭，\n一瞬间的判断就能左右生死。\n所以为了提高伙伴的存活率，她甘愿唱黑脸。\n顺带一提，她最大的爱好是辩论，\n尤其享受驳倒对手的感觉。\n她为伙伴着想的心意并非虚假，\n问题似乎出在别的地方。
ARC_ARCHIVE_HITODAMA_TXT_0037	身高：7个扳手\n体重：3个螺母\n性格：诚实\n兴趣：看书\n\n人魂中性格最爽朗最诚实的就是垫垫了吧。\n他会带头向有困难的人伸出援手，\n也会为了保护伙伴勇敢面对妖精。\n喜好看书的他知识渊博，\n那辅佐秘密基地领袖柯尔姆的身姿\n宛如一名优秀的参谋。\n运动神经也称得上优秀，以他为中心组成的\n自卫团负责在秘密基地附近巡逻。\n简直是文武双全的典范。\n同时，他虽然能力出众却从不摆架子，\n以平等的态度对待他人，性格也很好。\n由于他过于完美，反而成了人魂们畏惧的对象。\n因为大家觉得比起妖精，更不能与他为敌。
ARC_ARCHIVE_HITODAMA_TXT_0038	身高：在能够正确测量前非公开\n体重：在能够精确测量前非公开\n性格：耐力强\n兴趣：长跑\n\n栓栓库执着于一丝不苟地履行日程。\n每天在计划好的时间起床，吃计划好的食物，\n采取计划好的行动，被他奉为圭臬。\n每天长跑数十公里等行为，\n在旁人看来，他的生活与苦行无异，\n他本人却浑然不在意。他宣称无论发生什么，\n一切计划都必须完美执行。\n他并没有什么特定的目的，只是通过切实履行\n自己决定好的事情这一行为来获得满足。\n因此，他十分厌恶可能会打乱自己行程的妖精。\n从前他的生活相当散漫，\n但自从被妖精在脑袋里插了个螺钉后，\n他的性格就彻底变了。
ARC_ARCHIVE_HITODAMA_TXT_0039	身高：15卷绷带\n体重：1个束腰\n性格：文静\n兴趣：散步、唱歌\n\n绷带达是个心地善良的少女。\n她体弱多病，一不小心就会摔倒，\n因此身上全是伤。为治伤而缠上的绷带\n已经成了她的标志。在人魂中也算年龄小的，\n而且性格文静，因此被伙伴们当成妹妹宠着。\n喜欢散步和唱歌，常能见到她在秘密基地周边\n哼着歌散步。她生前就身有宿疾，\n以为成了人魂就不必为病痛所苦才造访了森林。\n遗憾的是，成为人魂后，她的病痛也没能痊愈，\n不过如今她被温柔的伙伴们所包围，\n这种生活让她的内心十二分的满足，\n她每天都十分高兴地唱歌给大家听。
ARC_ARCHIVE_HITODAMA_TXT_0040	身高：远比大树矮小\n体重：宛如枯叶\n性格：禁欲\n兴趣：冥想\n\n巫巫是个从很久以前就生活在森林里的人魂。\n据说他是这座森林里最长寿的生物，\n他的身体已经半数化作了木头。\n但也因此，他的知识十分渊博，\n似乎被人魂们视作活字典，深受信赖。\n不过，他的知识大多十分老旧，\n跟刚进森林的人魂交谈时常会鸡同鸭讲。\n由于在森林里活了很久，欲望淡薄，\n用在吃饭睡觉上的时间格外少。\n据本人所说，要想在森林里活下去就\n必须割舍自己的欲望，但他每天冥想时\n都会瞌睡，这已经是个众人皆知的秘密。\n曾经和伊古妮丝一同旅行，\n但他对个中细节绝口不提。
ARC_ARCHIVE_HITODAMA_TXT_9999	身高：？？？\n体重：？？？\n性格：？？？\n兴趣：？？？\n\n看起来似乎是有什么烦心事……
Text/archive_MES
ARC_CHARA_PL0000_001	瑟蕾莎
ARC_CHARA_PL1100_001	小柴猫
ARC_CHARA_BA0100_001	摩根娜
ARC_CHARA_EM0200_001	白狼
ARC_CHARA_EM1100_001	梦中少年
ARC_CHARA_EM1100_002	莱卡翁
ARC_CHARA_EM0050_001	神秘妖精
ARC_CHARA_EM0050_002	普卡
ARC_CHARA_PL0100_001	罗莎
ARC_CHARA_PL0050_001	贞德
ARC_CHARA_BAFB10_001	柯尔姆
ARC_CHARA_BAFB14_001	熟知森林之人
ARC_CHARA_BAFB14_002	伊古妮丝
ARC_CHARA_INFO_PL0000_001	美丽的璞玉
ARC_CHARA_INFO_PL1100_001	崇尚力量的恶魔
ARC_CHARA_INFO_BA0100_001	教导瑟蕾莎的严厉老师
ARC_CHARA_INFO_EM0200_001	银白引路人
ARC_CHARA_INFO_EM1100_001	引领瑟蕾莎的少年
ARC_CHARA_INFO_EM1100_002	引领瑟蕾莎的少年
ARC_CHARA_INFO_EM0050_001	率领妖精的神秘黑影
ARC_CHARA_INFO_EM0050_002	自称妖精王的可疑人物
ARC_CHARA_INFO_PL0100_001	温柔强大的瑟蕾莎母亲
ARC_CHARA_INFO_PL0050_001	瑟蕾莎的儿时玩伴
ARC_CHARA_INFO_BAFB10_001	人魂少年
ARC_CHARA_INFO_BAFB14_001	来自林间的声音
ARC_CHARA_INFO_BAFB14_002	林中引路人
ARC_CHARA_EM0000_000	巴拿拿库
ARC_CHARA_EM0000_001	弗摩尔
ARC_CHARA_EM0000_002	潘恩
ARC_CHARA_EM0000_003	斯帕柯纳
ARC_CHARA_EM0000_004	歌革玛各
ARC_CHARA_EM0000_005	莫尔西伯
ARC_CHARA_EM0000_007	弗摩尔
ARC_CHARA_EM0010_000	伊斯锡
ARC_CHARA_EM0010_001	伊斯锡
ARC_CHARA_EM0010_002	波奇
ARC_CHARA_EM0010_003	班西恩：P型
ARC_CHARA_EM0010_004	史普利根
ARC_CHARA_EM0010_005	巴格斯特
ARC_CHARA_EM0010_006	沙拉曼达
ARC_CHARA_EM0010_007	加肯那
ARC_CHARA_EM0010_008	儒威尔格
ARC_CHARA_EM0010_009	拉布列康
ARC_CHARA_EM0010_010	伊斯锡
ARC_CHARA_EM0010_011	波奇
ARC_CHARA_EM0010_013	诺卡
ARC_CHARA_EM0010_014	阿玛丹
ARC_CHARA_EM0015_000	皮克希
ARC_CHARA_EM0050_000	普卡
ARC_CHARA_EM0100_000	亲和
ARC_CHARA_EM0120_000	梅罗
ARC_CHARA_EM0150_000	贾巴沃克
ARC_CHARA_EM0300_000	阿玛丹·杜布
ARC_CHARA_EM1000_000	王之继承者  莱卡翁
ARC_CHARA_EM1100_000	莱卡翁
ARC_CHARA_EM2000_000	摩根娜
ARC_CHARA_EM2010_000	雷克斯·塔尼奥尼斯
ARC_CHARA_EM2020_000	侵略魔境者
ARC_ENEMY_INFO_EM0000_000	长枪猎人
ARC_ENEMY_INFO_EM0000_001	盾牌门卫
ARC_ENEMY_INFO_EM0000_002	死之监视者
ARC_ENEMY_INFO_EM0000_003	残酷妖术士
ARC_ENEMY_INFO_EM0000_004	妖精骑士
ARC_ENEMY_INFO_EM0000_005	石焰狂战士
ARC_ENEMY_INFO_EM0010_000	森林居民
ARC_ENEMY_INFO_EM0010_001	森林居民
ARC_ENEMY_INFO_EM0010_002	胡闹炮手
ARC_ENEMY_INFO_EM0010_003	半死兵器
ARC_ENEMY_INFO_EM0010_004	正经守卫
ARC_ENEMY_INFO_EM0010_005	亡灵妖精
ARC_ENEMY_INFO_EM0010_006	淘气火焰术士
ARC_ENEMY_INFO_EM0010_007	新手魔术士
ARC_ENEMY_INFO_EM0010_008	精锐战士
ARC_ENEMY_INFO_EM0010_009	整人陷阱师
ARC_ENEMY_INFO_EM0010_010	潜伏草丛者
ARC_ENEMY_INFO_EM0010_011	惑乱炮手
ARC_ENEMY_INFO_EM0010_013	挖洞工兵
ARC_ENEMY_INFO_EM0010_014	见习小丑
ARC_ENEMY_INFO_EM0015_000	仿徨狙击手
ARC_ENEMY_INFO_EM0100_000	普卡的杀手锏
ARC_ENEMY_INFO_EM0120_000	冷漠刺客
ARC_ENEMY_INFO_EM0150_000	暴食妖精龙
ARC_ENEMY_INFO_EM0300_000	人魂技艺的专家
ARC_ENEMY_INFO_EM1000_000	下任妖精王
